LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
1,12642.0,2022-08-22 00:00:00,31
1,4724.0,2022-08-22 00:00:00,33
1,4175.0,2022-08-22 00:00:00,34
1,912.0,2022-08-22 00:00:00,35
1,0.0,2022-08-22 00:00:00,38
1,6375.0,2022-08-22 00:00:00,39
1,361580.0,2022-08-22 00:00:00,41
1,16043.0,2022-08-22 00:00:00,44
1,0.0,2022-08-22 00:00:00,45
1,86964.0,2022-08-22 00:00:00,47
1,250.0,2022-08-22 00:00:00,52
1,0.0,2022-08-25 00:00:00,41
1,0.0,2022-08-26 00:00:00,41
1,0.0,2022-08-27 00:00:00,2
1,0.0,2022-08-27 00:00:00,3
1,0.0,2022-08-27 00:00:00,5
1,0.0,2022-08-27 00:00:00,7
1,0.0,2022-08-27 00:00:00,10
1,0.0,2022-08-27 00:00:00,13
1,0.0,2022-08-27 00:00:00,14
1,0.0,2022-08-27 00:00:00,15
1,0.0,2022-08-27 00:00:00,16
1,0.0,2022-08-27 00:00:00,18
1,0.0,2022-08-27 00:00:00,22
1,0.0,2022-08-27 00:00:00,27
1,0.0,2022-08-27 00:00:00,28
1,0.0,2022-08-27 00:00:00,29
1,0.0,2022-08-27 00:00:00,30
1,0.0,2022-08-27 00:00:00,31
1,0.0,2022-08-27 00:00:00,33
1,0.0,2022-08-27 00:00:00,34
1,0.0,2022-08-27 00:00:00,35
1,0.0,2022-08-27 00:00:00,38
1,0.0,2022-08-27 00:00:00,39
1,0.0,2022-08-27 00:00:00,40
1,0.0,2022-08-27 00:00:00,43
1,0.0,2022-08-27 00:00:00,44
1,0.0,2022-08-27 00:00:00,45
1,0.0,2022-08-27 00:00:00,47
1,0.0,2022-08-27 00:00:00,52
1,23432.0,2022-08-29 00:00:00,3
1,11164.0,2022-08-29 00:00:00,7
1,1812.0,2022-08-29 00:00:00,13
1,2113.0,2022-08-29 00:00:00,27
1,7399.0,2022-08-29 00:00:00,38
1,4302.0,2022-08-29 00:00:00,39
1,6269.0,2022-08-29 00:00:00,44
1,99608.0,2022-08-29 00:00:00,47
1,0.0,2022-08-30 00:00:00,41
1,0.0,2022-09-02 00:00:00,7
1,0.0,2022-09-02 00:00:00,13
1,0.0,2022-09-02 00:00:00,39
1,0.0,2022-09-02 00:00:00,47
1,0.0,2022-09-03 00:00:00,41
1,1338.0,2022-09-05 00:00:00,2
1,0.0,2022-09-05 00:00:00,3
1,0.0,2022-09-05 00:00:00,4
1,0.0,2022-09-05 00:00:00,5
1,621.0,2022-09-05 00:00:00,6
1,7712.0,2022-09-05 00:00:00,7
1,0.0,2022-09-05 00:00:00,11
1,0.0,2022-09-05 00:00:00,13
1,104.0,2022-09-05 00:00:00,15
1,2874.0,2022-09-05 00:00:00,16
1,1432.0,2022-09-05 00:00:00,21
1,0.0,2022-09-05 00:00:00,22
1,0.0,2022-09-05 00:00:00,27
1,0.0,2022-09-05 00:00:00,28
1,681.0,2022-09-05 00:00:00,29
1,0.0,2022-09-05 00:00:00,30
1,9604.0,2022-09-05 00:00:00,31
1,6248.0,2022-09-05 00:00:00,33
1,2755.0,2022-09-05 00:00:00,34
1,25846.0,2022-09-05 00:00:00,35
1,630.0,2022-09-05 00:00:00,38
1,8936.0,2022-09-05 00:00:00,39
1,0.0,2022-09-05 00:00:00,40
1,61849.0,2022-09-05 00:00:00,41
1,0.0,2022-09-05 00:00:00,42
1,0.0,2022-09-05 00:00:00,43
1,10990.0,2022-09-05 00:00:00,44
1,0.0,2022-09-05 00:00:00,45
1,138883.0,2022-09-05 00:00:00,47
1,0.0,2022-09-05 00:00:00,52
1,23489.0,2022-09-07 00:00:00,35
1,33557.0,2022-09-07 00:00:00,45
1,0.0,2022-09-09 00:00:00,2
1,0.0,2022-09-09 00:00:00,3
1,0.0,2022-09-09 00:00:00,10
1,0.0,2022-09-09 00:00:00,14
1,0.0,2022-09-09 00:00:00,16
1,0.0,2022-09-09 00:00:00,22
1,0.0,2022-09-09 00:00:00,27
1,0.0,2022-09-09 00:00:00,29
1,0.0,2022-09-09 00:00:00,31
1,0.0,2022-09-09 00:00:00,35
1,0.0,2022-09-09 00:00:00,44
1,0.0,2022-09-09 00:00:00,45
1,0.0,2022-09-09 00:00:00,47
1,0.0,2022-09-11 00:00:00,39
1,10740.0,2022-09-12 00:00:00,3
1,0.0,2022-09-12 00:00:00,4
1,0.0,2022-09-12 00:00:00,5
1,8151.0,2022-09-12 00:00:00,7
1,66674.0,2022-09-12 00:00:00,13
1,0.0,2022-09-12 00:00:00,14
1,5490.0,2022-09-12 00:00:00,15
1,0.0,2022-09-12 00:00:00,16
1,0.0,2022-09-12 00:00:00,17
1,0.0,2022-09-12 00:00:00,20
1,1735.0,2022-09-12 00:00:00,22
1,0.0,2022-09-12 00:00:00,26
1,3523.0,2022-09-12 00:00:00,27
1,0.0,2022-09-12 00:00:00,28
1,0.0,2022-09-12 00:00:00,29
1,0.0,2022-09-12 00:00:00,30
1,12845.0,2022-09-12 00:00:00,31
1,955.0,2022-09-12 00:00:00,33
1,0.0,2022-09-12 00:00:00,34
1,7693.0,2022-09-12 00:00:00,35
1,2459.0,2022-09-12 00:00:00,38
1,3762.0,2022-09-12 00:00:00,39
1,19296.0,2022-09-12 00:00:00,40
1,0.0,2022-09-12 00:00:00,43
1,22603.0,2022-09-12 00:00:00,44
1,0.0,2022-09-12 00:00:00,45
1,97158.0,2022-09-12 00:00:00,47
1,0.0,2022-09-12 00:00:00,52
1,0.0,2022-09-16 00:00:00,2
1,0.0,2022-09-16 00:00:00,3
1,0.0,2022-09-16 00:00:00,6
1,0.0,2022-09-16 00:00:00,7
1,0.0,2022-09-16 00:00:00,13
1,0.0,2022-09-16 00:00:00,16
1,0.0,2022-09-16 00:00:00,22
1,0.0,2022-09-16 00:00:00,27
1,0.0,2022-09-16 00:00:00,29
1,0.0,2022-09-16 00:00:00,31
1,0.0,2022-09-16 00:00:00,35
1,0.0,2022-09-16 00:00:00,38
1,0.0,2022-09-16 00:00:00,39
1,0.0,2022-09-16 00:00:00,40
1,0.0,2022-09-16 00:00:00,44
1,0.0,2022-09-16 00:00:00,47
1,0.0,2022-09-16 00:00:00,52
1,0.0,2022-09-18 00:00:00,39
1,6886.0,2022-09-19 00:00:00,3
1,0.0,2022-09-19 00:00:00,4
1,0.0,2022-09-19 00:00:00,5
1,0.0,2022-09-19 00:00:00,7
1,10.0,2022-09-19 00:00:00,13
1,1624.0,2022-09-19 00:00:00,17
1,269.0,2022-09-19 00:00:00,24
1,0.0,2022-09-19 00:00:00,27
1,0.0,2022-09-19 00:00:00,29
1,0.0,2022-09-19 00:00:00,30
1,48434.0,2022-09-19 00:00:00,31
1,26650.0,2022-09-19 00:00:00,35
1,558.0,2022-09-19 00:00:00,38
1,1310.0,2022-09-19 00:00:00,39
1,0.0,2022-09-19 00:00:00,40
1,0.0,2022-09-19 00:00:00,43
1,0.0,2022-09-19 00:00:00,44
1,141371.0,2022-09-19 00:00:00,47
1,0.0,2022-09-19 00:00:00,52
1,0.0,2022-09-23 00:00:00,2
1,0.0,2022-09-23 00:00:00,3
1,0.0,2022-09-23 00:00:00,6
1,0.0,2022-09-23 00:00:00,7
1,0.0,2022-09-23 00:00:00,13
1,0.0,2022-09-23 00:00:00,14
1,0.0,2022-09-23 00:00:00,16
1,0.0,2022-09-23 00:00:00,27
1,0.0,2022-09-23 00:00:00,29
1,0.0,2022-09-23 00:00:00,31
1,0.0,2022-09-23 00:00:00,35
